rank,team_name,validation_f1_ideal,validation_f1_perturbed,robustness_gap
1,Faran_Butt,0.6607142857142857,0.7989417989417988,-0.13822751322751314
2,emmanuel_owusu,0.7194421657095981,0.7913725490196079,-0.07193038331000978
3,samuel_matia,0.7194421657095981,0.7301136363636364,-0.010671470654038284
4,Bijay_Adhikari,0.6570959803117309,0.7194421657095981,-0.06234618539786718
5,Sanae_Zrigui,0.7194421657095981,0.7194421657095981,0.0
6,Muhammad_Isah,0.6346153846153846,0.672156862745098,-0.037541478129713424
7,Gurur_Gamgam,0.6041666666666667,0.6607142857142857,-0.05654761904761896
8,Vinit_Singroha,0.5594202898550724,0.6458781362007169,-0.08645784634564446
9,Hadil_AFFES,0.5928571428571429,0.6458781362007169,-0.05302099334357402
10,TugaYousif,0.6933235509904623,0.6346153846153846,0.0587081663750777
11,TasneemSelim,0.6458781362007169,0.6041666666666667,0.04171146953405014
12,Elhouiti_Ikram,0.6346153846153846,0.5529411764705883,0.08167420814479631
13,Nour_maj,0.6458781362007169,0.5523215523215523,0.09355658387916455
14,Sargam_Goyal,0.5818048422597212,0.5447498238195913,0.03705501844012993
15,Abderrahmane_Kasmi,0.6161616161616161,0.3968253968253968,0.21933621933621933
